,within-RMSE,within-PEHE,within-ATE,outof-RMSE,outof-PEHE,outof-ATE,train-RMSE,source_data_path,biased_data_path,outpath,agent,outcome,expid,model,hidden_rep,c_rep,c_out,alpha,sig,lr,wd
0,2.063510019501995,2.0769307998066413,0.5100493404995553,2.4076046468266252,2.3970156891187457,0.6323344237415494,3.4855861071999192,./data/source_data,./data/biased_data,./data/result,400,MEAN,0,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
3,1.661761562403671,1.860922959355204,0.4467640689642421,1.7343683033212687,1.8935930896053996,0.5321703807507093,3.498937084883381,./data/source_data,./data/biased_data,./data/result,400,MEAN,3,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
4,1.989200310839345,1.9741146913079963,0.45334447728710037,1.989063258340882,1.921043510310518,0.4064337017892436,3.921441574186862,./data/source_data,./data/biased_data,./data/result,400,MEAN,4,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
6,1.863978197728415,2.115708914601699,0.5082768080218383,1.8821944790187382,2.113699610838991,0.4395038428415027,4.046861021794889,./data/source_data,./data/biased_data,./data/result,400,MEAN,6,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
8,1.6836299963417634,1.8226871472451094,0.4629757396540128,1.6241830540443343,1.7001457556836737,0.5002745425214289,4.102592888735146,./data/source_data,./data/biased_data,./data/result,400,MEAN,8,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
2,2.0721958867306443,2.275734868393703,0.6335911088500202,2.327158572839086,2.4813420536947572,0.7024560508065646,4.106703829821684,./data/source_data,./data/biased_data,./data/result,400,MEAN,2,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
9,1.7192404744842016,1.876608259800887,0.5030415456478551,1.7454012371095413,1.8837287379246663,0.5551954351972341,4.113434100545608,./data/source_data,./data/biased_data,./data/result,400,MEAN,9,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
5,1.8144473916171797,1.9898570970599292,0.47504113396530284,1.9755998832463573,2.042987117301748,0.5496724797391336,4.276077107616632,./data/source_data,./data/biased_data,./data/result,400,MEAN,5,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
7,2.0565147217177704,2.1942670876790507,0.620063897710221,1.8654851272858557,2.01636020052,0.7059290456083838,4.566366291497053,./data/source_data,./data/biased_data,./data/result,400,MEAN,7,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
1,1.9096043491345887,1.888599482251258,0.4379103959142845,1.8722951585912972,1.8575004165078706,0.5031961692461135,5.243583997090657,./data/source_data,./data/biased_data,./data/result,400,MEAN,1,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
