,within-RMSE,within-PEHE,within-ATE,outof-RMSE,outof-PEHE,outof-ATE,train-RMSE,source_data_path,biased_data_path,outpath,agent,outcome,expid,model,hidden_rep,c_rep,c_out,alpha,sig,lr,wd,epoch,step
5,6.806452848077644,8.509185130624212,2.474759879790812,7.2798780436918955,8.907760809230764,3.0111391205110114,21.678303233838815,./data/source_data,./data/biased_data,./data/result,400,MAX,5,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
3,7.841687477088894,9.893147906652596,2.9076335424871678,7.5291072228444085,9.518171634372264,2.7020046727643936,21.94855699922458,./data/source_data,./data/biased_data,./data/result,400,MAX,3,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
6,6.530489685736114,7.972388842176803,2.368870352667343,6.3948107271476875,7.9571779564326475,2.322763882490325,22.451635820645812,./data/source_data,./data/biased_data,./data/result,400,MAX,6,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
0,7.502951305285125,9.388692402697666,2.5735168268789357,7.9608848034243165,9.346362572452414,2.4680682661131588,23.396438783505847,./data/source_data,./data/biased_data,./data/result,400,MAX,0,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
8,6.73150144549998,8.309760552893717,2.599743997896177,7.2743946637331485,8.551276640301086,2.982479609123037,23.75704391064655,./data/source_data,./data/biased_data,./data/result,400,MAX,8,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
1,7.267178985436816,9.025578668807501,2.8168496732876864,7.771243262583612,9.857557714473657,3.4940551586155792,25.445700417737307,./data/source_data,./data/biased_data,./data/result,400,MAX,1,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
2,7.156146001144162,8.850893391471004,3.1622401808147855,7.206665026467968,8.844625892385288,3.0871442377319513,26.024311926911626,./data/source_data,./data/biased_data,./data/result,400,MAX,2,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
9,8.189465789308999,9.825998759070185,2.7606540727095763,9.968172440505601,11.050983482407206,3.401164117609271,26.577892330521387,./data/source_data,./data/biased_data,./data/result,400,MAX,9,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
7,7.199044679770029,8.943143204284976,3.058700311252928,7.2729182718866925,9.06262824408123,3.433722735839006,28.001745670399767,./data/source_data,./data/biased_data,./data/result,400,MAX,7,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
4,8.070796784784111,10.151925684636662,2.7927392036784404,7.4274960756516295,8.99374737666075,2.3721333635031177,28.22026841634836,./data/source_data,./data/biased_data,./data/result,400,MAX,4,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08,1000,200
